bed rooms,baths,square feet,address,price
3,1,1298,"6141 S Rockwell Street Chicago, IL 60629",125000
3,2,1408,"7947 S May Street Chicago, IL 60620",124900
4,3,2920,"5644 W School Street Chicago, IL 60634",515000
4,1,1002,"3421 S 53rd Court Cicero, IL 60804",315000
5,2,1267,"8242 S Marshfield Avenue Chicago, IL 60620",295000
4,3,2800,"4946 S Drexel Boulevard , E Chicago, IL 60615",469900
2,2,1000,"12615 S Central Avenue , 207 Alsip, IL 60803",159900
2,1,900,"4840 W Engle Road , 3SE Alsip, IL 60803",99900
5,4,8400,"800 N Michigan Avenue 63PH Chicago, IL 60611",8995000
5,5,5300,"2545 N Wayne Avenue Chicago, IL 60614",2799000
3,3,3000,"617 W Fulton Street 2 Chicago, IL 60661",1599000
4,3,2400,"1014 N Larrabee Street 1S Chicago, IL 60610",825000
4,3,3000,"1227 N Paulina Street 1N Chicago, IL 60622",825000
3,2,1650,"1249 W Melrose Street 2W Chicago, IL 60657",749000
2,2,1790,"915 N Howe Street Chicago, IL 60610",625000
2,2,1790,"915 N Howe Street Chicago, IL 60610",625000
3,2,1800,"1601 N Paulina Street 3D Chicago, IL 60622",599500
3,2,1800,"2662 W Montrose Avenue 3 Chicago, IL 60618",539000
2,2,1230,"659 W Randolph Street 1416 Chicago, IL 60661",489000
3,2,1200,"5043 N OCTAVIA Avenue Harwood Heights, IL 60706",459000
4,2,1693,"5224 N Monitor Avenue Chicago, IL 60630",449900
2,1,1433,"165 N Canal Street 1525 Chicago, IL 60606",449000
2,2,1850,"1022 W Irving Park Road 1 Chicago, IL 60613",445000
3,4,2000,"3820 S Honore Street Chicago, IL 60609",439000
3,2,1500,"1209 E 46th Street 2E Chicago, IL 60653",424800
2,2,1100,"3743 N Pine Grove Avenue 3 Chicago, IL 60613",405000
3,2,1550,"124 W Polk Street 105 Chicago, IL 60605",359000
3,3,1500,"2027 N KEDVALE Avenue Chicago, IL 60639",349000
3,2,1826,"11202 S Leclaire Avenue Alsip, IL 60803",349000
4,2,1200,"6210 W 64th Street Chicago, IL 60638",335000
6,2,2200,"3906 W Huron Street Chicago, IL 60624",335000
1,2,3000,"3612 S Prairie Avenue 1 Chicago, IL 60653",335000
3,2,2537,"12100 S Perry Avenue Chicago, IL 60628",299900
6,3,2900,"825 E 88th Place Chicago, IL 60619",295000
3,2,1720,"5632 S Natoma Avenue Chicago, IL 60638",289000
1,1,750,"421 W Huron Street 1508 Chicago, IL 60654",279999
3,3,714,"3031 S Millard Avenue Chicago, IL 60623",274777
2,1,940,"1645 W Sherwin Avenue 3B Chicago, IL 60626",245000
4,2,1888,"7219 S Ellis Avenue Chicago, IL 60620",244900
4,1,1362,"8525 S Rhodes Avenue Chicago, IL 60619",243900
2,1,1035,"2208 N 72nd Court N 3W Elmwood Park, IL 60707",233500
3,2,1200,"14509 S Edbrooke Avenue Riverdale, IL 60827",225000
1,1,850,"253 E Delaware Place 17A Chicago, IL 60611",199000
5,2,2274,"6056 S Wolcott Avenue Chicago, IL 60636",195000
2,1,900,"6451 N Bell Avenue 3N Chicago, IL 60645",190000
2,1,1000,"3930 W Columbus Avenue 2W Chicago, IL 60652",120000
2,1,1000,"3930 W Columbus Avenue 2E Chicago, IL 60652",120000
1,1,950,"6960 N Bell Avenue 107 Chicago, IL 60645",107000
1,1,1300,"10535 S Hale Avenue 3W Chicago, IL 60643",98500
2,2,2477,"1550 N Clark Street Unit 902 Chicago, IL 60610",2000000
3,3,3310,"1550 N Clark Street Unit 704 Chicago, IL 60610",2000000
3,2,2200,"1250 S Michigan Avenue Unit 2502 Chicago, IL 60605",735000
3,2,1690,"2442 N Clybourn Avenue 5N Chicago, IL 60614",725000
4,3,2900,"6522 S Evans Avenue Chicago, IL 60637",605000
4,2,1760,"4422 N La Crosse Avenue Chicago, IL 60630",474900
1,1,830,"1901 S Calumet Avenue Unit 1910 Chicago, IL 60616",265000
6,5,8000,"1735 N Honore Street Chicago, IL 60622",3750000
4,3,3157,"305 S Racine Avenue PHD Chicago, IL 60607",2425000
3,3,2832,"159 E Walton Place 15A Chicago, IL 60611",2250000
3,2,2336,"363 E Wacker Drive 3402 Chicago, IL 60601",1969900
4,4,3800,"1440 N Lake Shore Drive 35A Chicago, IL 60610",1479000
3,4,3300,"1430 N BELL Avenue Chicago, IL 60622",1350000
4,4,4200,"5110 N Moreland Avenue Norridge, IL 60706",1060000
2,2,1700,"1222 W Lill Avenue Chicago, IL 60614",1050000
2,2,1613,"111 S Peoria Street 706 Chicago, IL 60607",999999
5,4,3800,"7211 W Ibsen Street Chicago, IL 60631",869000
2,2,2154,"161 E CHICAGO Avenue 54B Chicago, IL 60611",850000
2,2,1005,"1030 N State Street 42B Chicago, IL 60610",734995
3,2,1800,"5042 N Western Avenue 2 Chicago, IL 60625",649999
3,2,1550,"1500 N LASALLE Street 6D Chicago, IL 60610",599999
3,3,2024,"5722 W Wilson Avenue Chicago, IL 60630",575000
3,3,1810,"2045 N KEDZIE Street B1 Chicago, IL 60647",499000
3,2,1200,"5639 N MAJOR Avenue Chicago, IL 60646",469000
4,3,2344,"1305 N Mason Avenue Chicago, IL 60651",465000
2,2,1811,"415 W Aldine Avenue 9D Chicago, IL 60657",430000
4,2,2100,"7926 W Cortland Street Elmwood Park, IL 60707",424900
2,2,1400,"8 E RANDOLPH Street 1904 Chicago, IL 60601",424000
2,2,1300,"41 E 8th Street 1406 Chicago, IL 60605",389000
4,2,1176,"8638 S Kilbourn Avenue Chicago, IL 60652",384900
2,1,1200,"910 S Michigan Avenue 1813 Chicago, IL 60605",375000
4,2,2588,"Chicago, IL 60629",365000
2,1,2323,"4138 N Osceola Avenue Norridge, IL 60706",359900
3,1,1374,"7606 W School Street Chicago, IL 60634",327400
5,2,2701,"4010 N Octavia Avenue Norridge, IL 60706",325000
1,1,800,"1201 W Adams Street 409 Chicago, IL 60607",299900
1,1,983,"600 S Dearborn Street 614 Chicago, IL 60605",289890
1,1,850,"125 S Jefferson Street 1208 Chicago, IL 60661",284900
4,2,1501,"1633 E 86th Street Chicago, IL 60617",279999
3,2,2255,"4837 S Ridgeway Avenue Chicago, IL 60632",279900
2,2,1200,"6171 N Sheridan Road 2812 Chicago, IL 60660",275000
3,1,1032,"3241 S 54th Court Cicero, IL 60804",269900
4,1,1600,"848 N Trumbull Avenue Chicago, IL 60651",260000
2,1,1323,"5108 S Woodlawn Avenue 3G Chicago, IL 60615",259555
2,2,1300,"7328 N Winchester Avenue 1W Chicago, IL 60626",259500
1,1,900,"1150 N Lake Shore Drive 2D Chicago, IL 60611",249000
3,1,1200,"2100 N CENTRAL PARK Avenue 2 Chicago, IL 60647",239500
2,1,926,"921 N Noble Street 201 Chicago, IL 60642",237000
2,1,1163,"9608 S Emerald Avenue Chicago, IL 60628",220000
3,2,998,"133 E 119th Pl E 119th Place Chicago, IL 60628",210000
3,1,998,"8155 S Kilpatrick Avenue Chicago, IL 60652",199900
1,1,950,"4936 N WINTHROP Avenue GE Chicago, IL 60640",185000
2,2,1750,"1755 E 55th Street 503 Chicago, IL 60615",139000
4,2,1600,"8239 S Kenwood Avenue Chicago, IL 60619",109900
3,2,1058,"5407 S Justine Street Chicago, IL 60609",94900
3,1,1286,"308 W 105th Place Chicago, IL 60628",69000
3,2,2395,"5127 W Argyle Street Chicago, IL 60630",495000
3,2,1500,"7721 N Marshfield Avenue Unit 3 Chicago, IL 60626",370000
2,2,1300,"5455 N Sheridan Rd 2401 Chicago, IL 60640",345000
4,2,1300,"4608 S Marshfield Avenue Chicago, IL 60609",315000
4,2,1366,"414 W 96th Place Chicago, IL 60628",229000
3,2,1000,"8227 S Wentworth Avenue Chicago, IL 60620",140000
3,2,1100,"3218 S Archer Avenue , 205 Chicago, IL 60608",330000
3,2,1650,"3033 W Chase Avenue Chicago, IL 60645",541000
2,2,1032,"4015 N Milwaukee Avenue 202 Chicago, IL 60641",307000
1,1,725,"300 N State Street 5130 Chicago, IL 60654",259000
5,3,2746,"Chicago, IL 60620",365000
4,4,7147,"451 E Grand Avenue PH66 Chicago, IL 60611",6995000
4,3,2450,"2604 W Farwell Avenue Chicago, IL 60645",769000
4,3,2500,"6707 N Oketo Avenue Chicago, IL 60631",649000
4,2,2400,"2200 W Cullom Avenue 1 Chicago, IL 60618",620000
1,1,1004,"21 E Huron Street 1201 Chicago, IL 60611",475000
3,3,1300,"1803 W Ohio Street 3 Chicago, IL 60622",460000
3,2,1186,"3516 N Nottingham Avenue Chicago, IL 60634",435000
3,1,1334,"3525 N Narragansett Avenue Chicago, IL 60634",409900
3,2,2000,"1745 N 76th Avenue Elmwood Park, IL 60707",399900
4,2,1493,"5105 N New England Avenue Chicago, IL 60656",375000
3,1,1234,"12812 S Exchange Avenue Chicago, IL 60633",255000
1,1,870,"1524 S Sangamon Street 615 Chicago, IL 60608",249999
3,1,1958,"11740 S Kedvale Avenue Alsip, IL 60803",240000
3,2,1597,"1509 S KARLOV Avenue Chicago, IL 60623",225000
1,1,770,"555 W Cornelia Avenue 412 Chicago, IL 60657",203000
2,1,753,"4749 W SCHOOL Street 1E Chicago, IL 60641",165000
3,1,1040,"7000 S Paulina Avenue Chicago, IL 60636",71000
5,3,3000,"5118 W Winnemac Avenue Chicago, IL 60630",799900
5,3,2700,"8111 S Chappel Avenue Chicago, IL 60617",353000
2,1,900,"2412 W Bryn Mawr Avenue 1N Chicago, IL 60659",227000
2,2,900,"6730 S South Shore Drive Unit 604 Chicago, IL 60649",189000
4,4,4200,"3038 N HAMILTON Avenue Chicago, IL 60618",1999000
4,4,4200,"1810 W Superior Street Chicago, IL 60622",1760000
4,4,2900,"2753 N Hampden Court 5A Chicago, IL 60614",1550000
3,3,2910,"1211 S PRAIRIE Avenue 601 Chicago, IL 60605",1275000
3,2,2800,"1610 N Mohawk Street E Chicago, IL 60614",1200000
2,2,1630,"65 E Monroe Street 4521 Chicago, IL 60603",794900
2,2,2000,"1255 N State Parkway 2AC Chicago, IL 60610",750000
2,2,1700,"1212 N Lake Shore Drive 11BN Chicago, IL 60610",749000
4,3,1597,"1405 N Rockwell Street Chicago, IL 60622",650000
4,3,3000,"614 E 33RD Place Chicago, IL 60616",569000
3,2,1650,"260 E Chestnut Street 2407 Chicago, IL 60611",519000
2,2,1250,"2246 W Medill Avenue 2 Chicago, IL 60647",500000
2,2,1424,"6512 N Artesian Avenue Chicago, IL 60645",499900
2,2,1500,"1843 W North Avenue 3W Chicago, IL 60622",499900
3,2,1800,"3815 N Kedzie Avenue 3N Chicago, IL 60618",475000
2,2,1200,"939 W MADISON Street 205 Chicago, IL 60607",449000
3,2,1646,"1070 W 15th Street 347 Chicago, IL 60608",444900
3,2,1195,"5412 N Melvina Avenue Chicago, IL 60630",415000
2,2,1343,"611 S Wells Street 906 Chicago, IL 60607",399000
2,2,1400,"1150 N LAKE SHORE Drive 19H Chicago, IL 60611",399000
4,3,2400,"818 N Lawndale Avenue Chicago, IL 60651",390900
4,2,1350,"5607 S Meade Avenue Chicago, IL 60638",349900
2,1,1453,"2925 N Whipple Street 4 Chicago, IL 60618",349900
3,2,984,"7130 W 64th Street Chicago, IL 60638",340000
5,3,1964,"5936 W 124TH Street Alsip, IL 60803",339999
2,2,900,"818 N Dearborn Street BF Chicago, IL 60610",339000
1,1,980,"1313 N Ritchie Court 1105 Chicago, IL 60610",335000
2,1,1220,"7823 W Summerdale Avenue Chicago, IL 60656",329000
4,3,2399,"9056 S MARSHFIELD Avenue Chicago, IL 60620",324999
2,2,1200,"2001 S Calumet Avenue 305 Chicago, IL 60616",300000
4,2,1478,"Chicago, IL 60632",290000
2,2,890,"Chicago, IL 60632",289900
4,2,1800,"727 W 50th Place Chicago, IL 60609",269000
3,2,1850,"7026 S Claremont Avenue Chicago, IL 60636",265000
3,1,1006,"7714 S Sawyer Avenue Chicago, IL 60652",259900
5,2,2200,"12628 S Racine Avenue Calumet Park, IL 60827",259900
1,1,750,"3100 N Lake Shore Drive 404 Chicago, IL 60657",259000
3,2,2100,"8410 S JEFFERY Boulevard Chicago, IL 60617",249900
3,2,2045,"3402 S Lowe Avenue Chicago, IL 60616",235000
1,1,800,"2001 S Calumet Avenue 609 Chicago, IL 60616",230000
3,1,1200,"8722 S Justine Street Chicago, IL 60620",229900
3,3,2500,"4619 S Prairie Avenue GDN Chicago, IL 60653",225000
